"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.891054667E0,-3.493613815E1,-2.627363586E1,-2.630456543E1,5.101732895E1
1.901002667E0,-3.501781082E1,-2.641458130E1,-2.642678833E1,5.120890861E1
1.910949667E0,-3.497249222E1,-2.635559082E1,-2.631820679E1,5.109149037E1
1.920896667E0,-3.505105972E1,-2.651771545E1,-2.627484131E1,5.120677012E1
1.930843667E0,-3.508262253E1,-2.643550110E1,-2.660748291E1,5.135741688E1
1.940790667E0,-3.507398605E1,-2.637699890E1,-2.664447021E1,5.134061123E1
1.950737667E0,-3.494868851E1,-2.646812439E1,-2.665847778E1,5.130932542E1
1.960684667E0,-3.503605270E1,-2.635780334E1,-2.664474487E1,5.130498237E1
1.970631667E0,-3.480216599E1,-2.630235291E1,-2.666012573E1,5.112501178E1
1.980578667E0,-3.497196579E1,-2.630650330E1,-2.643341064E1,5.112529418E1
1.990525667E0,-3.503374863E1,-2.631985474E1,-2.642184448E1,5.116846844E1
2.000472167E0,-3.504632187E1,-2.623937988E1,-2.667050171E1,5.126466029E1
2.010419167E0,-3.499860764E1,-2.642936707E1,-2.637512207E1,5.117676274E1
2.020366167E0,-3.511874771E1,-2.650068665E1,-2.641769409E1,5.131771034E1
2.030314167E0,-3.515945816E1,-2.645437622E1,-2.639785767E1,5.131148418E1
2.040261167E0,-3.506293106E1,-2.650529480E1,-2.648031616E1,5.131419814E1
2.050208167E0,-3.505971909E1,-2.640473938E1,-2.636367798E1,5.119997735E1
2.060155167E0,-3.497066879E1,-2.607781982E1,-2.637600708E1,5.097738824E1
2.070102167E0,-3.498790359E1,-2.604776001E1,-2.633319092E1,5.095170403E1
2.080049167E0,-3.467323685E1,-2.564350891E1,-2.623617554E1,5.047930080E1
2.089996167E0,-3.454877090E1,-2.559715271E1,-2.627273560E1,5.038936826E1
2.099943167E0,-3.483749008E1,-2.593006897E1,-2.636373901E1,5.080419202E1
