"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.269231917E0,-1.845057297E1,-9.676513672E-1,-3.804330444E1,4.229246984E1
2.279178917E0,-1.831239700E1,-9.312744141E-1,-3.792596436E1,4.212588193E1
2.289124917E0,-1.819293594E1,-9.203186035E-1,-3.764968872E1,4.182498016E1
2.299071917E0,-1.803795242E1,-9.967803955E-1,-3.752282715E1,4.164521408E1
2.309017917E0,-1.814042282E1,-9.156341553E-1,-3.798196411E1,4.210157864E1
2.318963917E0,-1.820553970E1,-7.481231689E-1,-3.757232666E1,4.175740766E1
2.328910917E0,-1.825968552E1,-9.329223633E-1,-3.793737793E1,4.211331266E1
2.338856917E0,-1.820553970E1,-8.733062744E-1,-3.773983765E1,4.191061543E1
2.348803917E0,-1.825785446E1,-8.347778320E-1,-3.758099365E1,4.178967800E1
2.358749917E0,-1.829736710E1,-8.569183350E-1,-3.771499634E1,4.192790122E1
2.368696917E0,-1.823853683E1,-8.910980225E-1,-3.794744873E1,4.211231586E1
2.378642917E0,-1.829559708E1,-8.756561279E-1,-3.777978516E1,4.198580489E1
2.388588917E0,-1.824262619E1,-8.930206299E-1,-3.775109863E1,4.193729062E1
2.398535917E0,-1.822341537E1,-9.461822510E-1,-3.777731323E1,4.195370691E1
2.408481917E0,-1.821269608E1,-8.310546875E-1,-3.770050049E1,4.187744843E1
2.418428917E0,-1.822527695E1,-9.689331055E-1,-3.779306030E1,4.196921441E1
2.428374917E0,-1.841598892E1,-9.225006104E-1,-3.790921021E1,4.215575730E1
2.438321917E0,-1.811884689E1,-8.865051270E-1,-3.778060913E1,4.191005763E1
2.448267917E0,-1.826769638E1,-1.009216309E0,-3.803732300E1,4.220859142E1
2.458214917E0,-1.823984909E1,-8.324890137E-1,-3.776199341E1,4.194464541E1
2.468160917E0,-1.814538193E1,-7.734375000E-1,-3.793667603E1,4.206001045E1
2.478106917E0,-1.839014816E1,-9.129638672E-1,-3.811367798E1,4.232828253E1
2.488053917E0,-1.836904526E1,-8.511810303E-1,-3.814254761E1,4.234383392E1
2.497999917E0,-1.821931839E1,-9.125976562E-1,-3.811108398E1,4.225199545E1
2.507946917E0,-1.820785904E1,-9.734497070E-1,-3.814465332E1,4.227869809E1
2.517892917E0,-1.823396683E1,-8.932952881E-1,-3.806375122E1,4.221521858E1
2.527839917E0,-1.822925949E1,-9.571838379E-1,-3.811285400E1,4.225886585E1
2.537785917E0,-1.815309525E1,-8.756103516E-1,-3.795645142E1,4.208317674E1
2.547732917E0,-1.833948135E1,-8.335723877E-1,-3.820764160E1,4.238932998E1
2.557678917E0,-1.848948288E1,-8.858642578E-1,-3.814584351E1,4.239989516E1
2.567624917E0,-1.843292618E1,-7.320556641E-1,-3.814715576E1,4.237350783E1
2.577571917E0,-1.851022720E1,-7.822723389E-1,-3.787042236E1,4.215933291E1
2.587517917E0,-1.839879227E1,-7.371063232E-1,-3.783273315E1,4.207581943E1
2.597464917E0,-1.834562302E1,-8.133087158E-1,-3.799279785E1,4.219805734E1
2.607410917E0,-1.842094040E1,-9.130554199E-1,-3.809762573E1,4.232722294E1
2.617357917E0,-1.820894241E1,-8.575744629E-1,-3.801931763E1,4.216360434E1
2.627303917E0,-1.825380325E1,-8.931884766E-1,-3.787786865E1,4.205629623E1
2.637250917E0,-1.823250198E1,-1.010055542E0,-3.789468384E1,4.206484760E1
2.647196917E0,-1.826681900E1,-1.045333862E0,-3.792333984E1,4.210640218E1
2.657142917E0,-1.829726028E1,-9.386749268E-1,-3.814065552E1,4.231288749E1
2.667089917E0,-1.824198532E1,-9.643554688E-1,-3.813259888E1,4.228232618E1
2.677035917E0,-1.828120804E1,-9.428253174E-1,-3.838647461E1,4.252778997E1
2.686982917E0,-1.825220871E1,-9.157562256E-1,-3.837026978E1,4.250010982E1
